Price,Close,High,Low,Open,Volume
Ticker,IWD,IWD,IWD,IWD,IWD
Date,,,,,
2023-04-17,146.460693359375,146.47958945455147,145.4594165174838,145.67667116477213,5085000
2023-04-18,146.51734924316406,146.8007329820297,145.9600370186089,146.75349995663615,1140000
2023-04-19,146.50790405273438,146.69682173520275,145.80889277275662,145.90335882073845,1129200
2023-04-20,145.5066375732422,145.9317204475994,145.02489523940113,145.41218592277215,2141400
2023-04-21,145.59164428710938,145.79945807062083,144.902073817505,145.78056197753003,979600
2023-04-24,145.8844757080078,146.05449731330785,145.4121742530679,145.5821958583679,1454800
2023-04-25,143.8252410888672,145.27048246044865,143.75912637687512,145.19492690774265,1302400
2023-04-26,142.1721649169922,143.49461750999785,141.86989951031626,143.39071062350095,1425400
2023-04-27,144.6753692626953,144.87372778044818,142.89007053544475,143.09788430589677,1818800
2023-04-28,146.06394958496094,146.12062345223723,144.37310233923873,144.37310233923873,1835700
2023-05-01,145.97889709472656,146.75347823876362,145.87499021963606,145.9505601663831,1011600
2023-05-02,143.74966430664062,145.53497764823314,142.52169205118048,145.53497764823314,1561300
2023-05-03,142.5878143310547,144.61871934887535,142.52169961868702,143.9008118726143,1168500
2023-05-04,141.2464599609375,142.370539634352,140.6419147265165,142.0399228785847,1403200
2023-05-05,143.5135040283203,143.93858684145775,142.531123406626,142.63503029662692,1019000
2023-05-08,143.57962036132812,144.10859560386865,143.1923297682201,143.9574557021444,1270200
2023-05-09,143.00340270996094,143.49460015157157,142.58777521425142,142.82392589013244,1173100
2023-05-10,142.8711700439453,144.0897012845313,141.6715204811863,143.995249654913,1615900
2023-05-11,142.14381408691406,142.25717621514139,141.48259506181188,142.228839286458,1142800
2023-05-12,142.0304718017578,142.75781996392234,141.22755368905072,142.6822500133798,979100
2023-05-15,142.6916961669922,142.99397598042142,141.8037672319123,142.32330165280956,1172700
2023-05-16,140.90640258789062,142.342202926965,140.8780656560368,142.342202926965,997300
2023-05-17,142.6539306640625,142.92785915673025,141.08588642742342,141.64319866617595,1646100
2023-05-18,143.39071655273438,143.58907508111554,142.058823065335,142.28553293983776,1931000
2023-05-19,143.23959350585938,144.20309256909874,142.74839592666908,143.87247576486544,1830000
2023-05-22,143.38124084472656,143.9669043336006,142.72947707381633,143.34346307778,1464000
2023-05-23,142.35165405273438,143.83468752322744,142.29498018493146,142.9939915193258,1104400
2023-05-24,141.048095703125,141.98324324179404,140.79304891371766,141.92656938048012,2180600
2023-05-25,140.3207550048828,140.86862638264006,139.56506984889023,140.81195251830232,1291000
2023-05-26,141.41650390625,141.6904324002856,140.63248178401557,140.7647256110493,1063200
2023-05-30,141.1519775390625,141.81321097389463,140.67023534069313,141.49203509482138,2305100
2023-05-31,140.38685607910156,140.7930427565792,139.70674094608782,140.48132211949007,2503100
2023-06-01,141.50152587890625,141.86992045569426,139.95237760555443,140.63249288785497,1608000
2023-06-02,144.1558380126953,144.43922174350948,142.38943533842962,142.38943533842962,1777800
2023-06-05,143.6551971435547,144.51478916030717,143.46627946416277,144.27863845769355,1172800
2023-06-06,144.53370666503906,144.7037427080859,143.4096411493066,143.61744055869937,1049800
2023-06-07,145.7353973388672,145.85870559793184,144.54978553340032,144.76794852602248,1412600
2023-06-08,145.8966522216797,146.06737337348378,145.0145495189577,145.57415481360485,1028800
2023-06-09,145.71646118164062,146.3139997852739,145.44139109418808,145.8587288318384,2111900
2023-06-12,146.20965576171875,146.3234843472142,145.44138155543266,145.67850393874573,1175300
2023-06-13,147.4142608642578,147.69881065613097,146.47525089291747,146.6554662435306,3770100
2023-06-14,146.9779510498047,148.08768211687374,146.2665838678782,147.76518466173727,1774400
2023-06-15,148.81802368164062,149.12154732349177,146.750323144544,146.750323144544,1842800
2023-06-16,148.56190490722656,149.59575491840474,148.44807633346736,149.3491528753935,1237000
2023-06-20,147.3193817138672,147.95486788013042,146.77873580467022,147.76515842039828,1390500
2023-06-21,147.03485107421875,147.60393610885217,146.3519374544173,146.96844986013727,1338400
2023-06-22,146.51318359375,146.8166927273057,146.01048528442172,146.73133214031836,2132500
2023-06-23,145.57415771484375,146.10530949477584,145.2137415629187,145.72591950133878,1986100
